Original number: 155 current diff number: 0 , quantizated number: 155 , dequantizated number: 155 , decoded number: 155
Original number: 21 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 174593
Original number: 16 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 174598
Original number: 0 current diff number: 16 , quantizated number: 16 , dequantizated number: 16 , decoded number: 174614
Original number: 120 current diff number: 120 , quantizated number: 120 , dequantizated number: 120 , decoded number: 174734
Original number: 126 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 174740
Original number: 124 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 174742
Original number: 116 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 174750
Original number: 121 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 174755
Original number: 120 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 174756
Original number: 110 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 174766
Original number: 115 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 174771
Original number: 46 current diff number: 69 , quantizated number: 69 , dequantizated number: 69 , decoded number: 174840
Original number: 63 current diff number: 17 , quantizated number: 17 , dequantizated number: 17 , decoded number: 174857
Original number: 198 current diff number: 135 , quantizated number: 135 , dequantizated number: 135 , decoded number: 174992
Original number: 235 current diff number: 37 , quantizated number: 37 , dequantizated number: 37 , decoded number: 175029
Original number: 125 current diff number: 110 , quantizated number: 110 , dequantizated number: 110 , decoded number: 175139
Original number: 112 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 175152
Original number: 110 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 175154
Original number: 92 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 175172
Original number: 119 current diff number: 27 , quantizated number: 27 , dequantizated number: 27 , decoded number: 175199
Original number: 115 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 175203
Original number: 111 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 175207
Original number: 119 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 175215
Original number: 124 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 175220
Original number: 124 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 175220
Original number: 131 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 175227
Original number: 135 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 175231
Original number: 136 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 175232
Original number: 125 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 175243
Original number: 127 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 175245
Original number: 120 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 175252
Original number: 104 current diff number: 16 , quantizated number: 16 , dequantizated number: 16 , decoded number: 175268
Original number: 115 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 175279
Original number: 132 current diff number: 17 , quantizated number: 17 , dequantizated number: 17 , decoded number: 175296
Original number: 124 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 175304
Original number: 123 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 175305
Original number: 125 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 175307
Original number: 134 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 175316
Original number: 129 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 175321
Original number: 133 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 175325
Original number: 125 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 175333
Original number: 127 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 175335
Original number: 123 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 175339
Original number: 127 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 175343
Original number: 130 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 175346
Original number: 123 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 175353
Original number: 121 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 175355
Original number: 137 current diff number: 16 , quantizated number: 16 , dequantizated number: 16 , decoded number: 175371
Original number: 125 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 175383
Original number: 119 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 175389
Original number: 133 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 175403
Original number: 119 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 175417
Original number: 105 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 175431
Original number: 132 current diff number: 27 , quantizated number: 27 , dequantizated number: 27 , decoded number: 175458
Original number: 125 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 175465
Original number: 120 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 175470
Original number: 126 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 175476
Original number: 136 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 175486
Original number: 47 current diff number: 89 , quantizated number: 89 , dequantizated number: 89 , decoded number: 175575
Original number: 129 current diff number: 82 , quantizated number: 82 , dequantizated number: 82 , decoded number: 175657
Original number: 192 current diff number: 63 , quantizated number: 63 , dequantizated number: 63 , decoded number: 175720
Original number: 124 current diff number: 68 , quantizated number: 68 , dequantizated number: 68 , decoded number: 175788
Original number: 105 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 175807
Original number: 118 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 175820
Original number: 111 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 175827
Original number: 122 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 175838
Original number: 115 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 175845
Original number: 103 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 175857
Original number: 128 current diff number: 25 , quantizated number: 25 , dequantizated number: 25 , decoded number: 175882
Original number: 103 current diff number: 25 , quantizated number: 25 , dequantizated number: 25 , decoded number: 175907
Original number: 127 current diff number: 24 , quantizated number: 24 , dequantizated number: 24 , decoded number: 175931
Original number: 125 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 175933
Original number: 116 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 175942
Original number: 106 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 175952
Original number: 113 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 175959
Original number: 111 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 175961
Original number: 111 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 175961
Original number: 97 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 175975
Original number: 116 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 175994
Original number: 121 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 175999
Original number: 108 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 176012
Original number: 125 current diff number: 17 , quantizated number: 17 , dequantizated number: 17 , decoded number: 176029
Original number: 125 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 176029
Original number: 118 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 176036
Original number: 109 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 176045
Original number: 105 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 176049
Original number: 110 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 176054
Original number: 112 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 176056
Original number: 142 current diff number: 30 , quantizated number: 30 , dequantizated number: 30 , decoded number: 176086
Original number: 110 current diff number: 32 , quantizated number: 32 , dequantizated number: 32 , decoded number: 176118
Original number: 113 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 176121
Original number: 114 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 176122
Original number: 139 current diff number: 25 , quantizated number: 25 , dequantizated number: 25 , decoded number: 176147
Original number: 158 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 176166
Original number: 127 current diff number: 31 , quantizated number: 31 , dequantizated number: 31 , decoded number: 176197
Original number: 119 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 176205
Original number: 121 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 176207
Original number: 124 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 176210
Original number: 121 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 176213
Original number: 125 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 176217
Original number: 134 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 176226
Original number: 126 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 176234
Original number: 115 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 176245
Original number: 120 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 176250
Original number: 77 current diff number: 43 , quantizated number: 43 , dequantizated number: 43 , decoded number: 176293
Original number: 14 current diff number: 63 , quantizated number: 63 , dequantizated number: 63 , decoded number: 176356
Original number: 32 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 176374
Original number: 11 current diff number: 21 , quantizated number: 21 , dequantizated number: 21 , decoded number: 176395
Original number: 44 current diff number: 33 , quantizated number: 33 , dequantizated number: 33 , decoded number: 176428
Original number: 67 current diff number: 23 , quantizated number: 23 , dequantizated number: 23 , decoded number: 176451
Original number: 37 current diff number: 30 , quantizated number: 30 , dequantizated number: 30 , decoded number: 176481
Original number: 29 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 176489
Original number: 41 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 176501
Original number: 42 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 176502
Original number: 110 current diff number: 68 , quantizated number: 68 , dequantizated number: 68 , decoded number: 176570
Original number: 144 current diff number: 34 , quantizated number: 34 , dequantizated number: 34 , decoded number: 176604
Original number: 139 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 176609
Original number: 127 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 176621
Original number: 37 current diff number: 90 , quantizated number: 90 , dequantizated number: 90 , decoded number: 176711
Original number: 60 current diff number: 23 , quantizated number: 23 , dequantizated number: 23 , decoded number: 176734
Original number: 74 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 176748
Original number: 65 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 176757
Original number: 67 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 176759
Original number: 68 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 176760
Original number: 52 current diff number: 16 , quantizated number: 16 , dequantizated number: 16 , decoded number: 176776
Original number: 37 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 176791
Original number: 22 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 176806
Original number: 3 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 176825
Original number: 98 current diff number: 95 , quantizated number: 95 , dequantizated number: 95 , decoded number: 176920
Original number: 116 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 176938
Original number: 128 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 176950
Original number: 118 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 176960
Original number: 118 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 176960
Original number: 118 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 176960
Original number: 104 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 176974
Original number: 108 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 176978
Original number: 26 current diff number: 82 , quantizated number: 82 , dequantizated number: 82 , decoded number: 177060
Original number: 86 current diff number: 60 , quantizated number: 60 , dequantizated number: 60 , decoded number: 177120
Original number: 239 current diff number: 153 , quantizated number: 153 , dequantizated number: 153 , decoded number: 177273
Original number: 232 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 177280
Original number: 111 current diff number: 121 , quantizated number: 121 , dequantizated number: 121 , decoded number: 177401
Original number: 100 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 177412
Original number: 121 current diff number: 21 , quantizated number: 21 , dequantizated number: 21 , decoded number: 177433
Original number: 107 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 177447
Original number: 130 current diff number: 23 , quantizated number: 23 , dequantizated number: 23 , decoded number: 177470
Original number: 112 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 177488
Original number: 108 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 177492
Original number: 103 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 177497
Original number: 109 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 177503
Original number: 121 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 177515
Original number: 122 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 177516
Original number: 135 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 177529
Original number: 134 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 177530
Original number: 121 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 177543
Original number: 126 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 177548
Original number: 127 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 177549
Original number: 116 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 177560
Original number: 130 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 177574
Original number: 143 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 177587
Original number: 128 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 177602
Original number: 130 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 177604
Original number: 131 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 177605
Original number: 145 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 177619
Original number: 130 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 177634
Original number: 141 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 177645
Original number: 127 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 177659
Original number: 138 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 177670
Original number: 133 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 177675
Original number: 111 current diff number: 22 , quantizated number: 22 , dequantizated number: 22 , decoded number: 177697
Original number: 141 current diff number: 30 , quantizated number: 30 , dequantizated number: 30 , decoded number: 177727
Original number: 117 current diff number: 24 , quantizated number: 24 , dequantizated number: 24 , decoded number: 177751
Original number: 110 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 177758
Original number: 111 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 177759
Original number: 139 current diff number: 28 , quantizated number: 28 , dequantizated number: 28 , decoded number: 177787
Original number: 123 current diff number: 16 , quantizated number: 16 , dequantizated number: 16 , decoded number: 177803
Original number: 128 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 177808
Original number: 121 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 177815
Original number: 117 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 177819
Original number: 118 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 177820
Original number: 153 current diff number: 35 , quantizated number: 35 , dequantizated number: 35 , decoded number: 177855
Original number: 96 current diff number: 57 , quantizated number: 57 , dequantizated number: 57 , decoded number: 177912
Original number: 106 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 177922
Original number: 127 current diff number: 21 , quantizated number: 21 , dequantizated number: 21 , decoded number: 177943
Original number: 79 current diff number: 48 , quantizated number: 48 , dequantizated number: 48 , decoded number: 177991
Original number: 67 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 178003
Original number: 212 current diff number: 145 , quantizated number: 145 , dequantizated number: 145 , decoded number: 178148
Original number: 140 current diff number: 72 , quantizated number: 72 , dequantizated number: 72 , decoded number: 178220
Original number: 108 current diff number: 32 , quantizated number: 32 , dequantizated number: 32 , decoded number: 178252
Original number: 116 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 178260
Original number: 119 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 178263
Original number: 135 current diff number: 16 , quantizated number: 16 , dequantizated number: 16 , decoded number: 178279
Original number: 127 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 178287
Original number: 121 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 178293
Original number: 136 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 178308
Original number: 95 current diff number: 41 , quantizated number: 41 , dequantizated number: 41 , decoded number: 178349
Original number: 124 current diff number: 29 , quantizated number: 29 , dequantizated number: 29 , decoded number: 178378
Original number: 124 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 178378
Original number: 109 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 178393
Original number: 94 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 178408
Original number: 101 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 178415
Original number: 115 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 178429
Original number: 112 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 178432
Original number: 90 current diff number: 22 , quantizated number: 22 , dequantizated number: 22 , decoded number: 178454
Original number: 109 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 178473
Original number: 111 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 178475
Original number: 93 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 178493
Original number: 107 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 178507
Original number: 103 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 178511
Original number: 104 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 178512
Original number: 103 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 178513
Original number: 109 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 178519
Original number: 119 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 178529
Original number: 121 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 178531
Original number: 114 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 178538
Original number: 95 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 178557
Original number: 124 current diff number: 29 , quantizated number: 29 , dequantizated number: 29 , decoded number: 178586
Original number: 114 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 178596
Original number: 129 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 178611
Original number: 125 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 178615
Original number: 119 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 178621
Original number: 134 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 178636
Original number: 108 current diff number: 26 , quantizated number: 26 , dequantizated number: 26 , decoded number: 178662
Original number: 121 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 178675
Original number: 131 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 178685
Original number: 133 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 178687
Original number: 116 current diff number: 17 , quantizated number: 17 , dequantizated number: 17 , decoded number: 178704
Original number: 107 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 178713
Original number: 105 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 178715
Original number: 114 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 178724
Original number: 59 current diff number: 55 , quantizated number: 55 , dequantizated number: 55 , decoded number: 178779
Original number: 41 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 178797
Original number: 34 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 178804
Original number: 27 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 178811
Original number: 26 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 178812
Original number: 52 current diff number: 26 , quantizated number: 26 , dequantizated number: 26 , decoded number: 178838
Original number: 56 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 178842
Original number: 22 current diff number: 34 , quantizated number: 34 , dequantizated number: 34 , decoded number: 178876
Original number: 49 current diff number: 27 , quantizated number: 27 , dequantizated number: 27 , decoded number: 178903
Original number: 87 current diff number: 38 , quantizated number: 38 , dequantizated number: 38 , decoded number: 178941
Original number: 136 current diff number: 49 , quantizated number: 49 , dequantizated number: 49 , decoded number: 178990
Original number: 150 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 179004
Original number: 125 current diff number: 25 , quantizated number: 25 , dequantizated number: 25 , decoded number: 179029
Original number: 125 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 179029
Original number: 13 current diff number: 112 , quantizated number: 112 , dequantizated number: 112 , decoded number: 179141
Original number: 47 current diff number: 34 , quantizated number: 34 , dequantizated number: 34 , decoded number: 179175
Original number: 77 current diff number: 30 , quantizated number: 30 , dequantizated number: 30 , decoded number: 179205
Original number: 62 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 179220
Original number: 57 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 179225
Original number: 69 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 179237
Original number: 71 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 179239
Original number: 74 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 179242
Original number: 56 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 179260
Original number: 0 current diff number: 56 , quantizated number: 56 , dequantizated number: 56 , decoded number: 179316
Original number: 98 current diff number: 98 , quantizated number: 98 , dequantizated number: 98 , decoded number: 179414
Original number: 121 current diff number: 23 , quantizated number: 23 , dequantizated number: 23 , decoded number: 179437
Original number: 121 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 179437
Original number: 125 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 179441
Original number: 120 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 179446
Original number: 130 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 179456
Original number: 128 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 179458
Original number: 87 current diff number: 41 , quantizated number: 41 , dequantizated number: 41 , decoded number: 179499
Original number: 26 current diff number: 61 , quantizated number: 61 , dequantizated number: 61 , decoded number: 179560
Original number: 131 current diff number: 105 , quantizated number: 105 , dequantizated number: 105 , decoded number: 179665
Original number: 226 current diff number: 95 , quantizated number: 95 , dequantizated number: 95 , decoded number: 179760
Original number: 207 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 179779
Original number: 106 current diff number: 101 , quantizated number: 101 , dequantizated number: 101 , decoded number: 179880
Original number: 128 current diff number: 22 , quantizated number: 22 , dequantizated number: 22 , decoded number: 179902
Original number: 133 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 179907
Original number: 127 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 179913
Original number: 142 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 179928
Original number: 132 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 179938
Original number: 134 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 179940
Original number: 121 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 179953
Original number: 135 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 179967
Original number: 128 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 179974
Original number: 138 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 179984
Original number: 134 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 179988
Original number: 142 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 179996
Original number: 118 current diff number: 24 , quantizated number: 24 , dequantizated number: 24 , decoded number: 180020
Original number: 120 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 180022
Original number: 110 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 180032
Original number: 104 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 180038
Original number: 118 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 180052
Original number: 115 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 180055
Original number: 116 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 180056
Original number: 128 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 180068
Original number: 130 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 180070
Original number: 142 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 180082
Original number: 151 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 180091
Original number: 139 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 180103
Original number: 120 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 180122
Original number: 122 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 180124
Original number: 140 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 180142
Original number: 145 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 180147
Original number: 123 current diff number: 22 , quantizated number: 22 , dequantizated number: 22 , decoded number: 180169
Original number: 139 current diff number: 16 , quantizated number: 16 , dequantizated number: 16 , decoded number: 180185
Original number: 137 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 180187
Original number: 142 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 180192
Original number: 121 current diff number: 21 , quantizated number: 21 , dequantizated number: 21 , decoded number: 180213
Original number: 141 current diff number: 20 , quantizated number: 20 , dequantizated number: 20 , decoded number: 180233
Original number: 145 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 180237
Original number: 133 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 180249
Original number: 122 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 180260
